Miss_muts	Drug	Balanced_Accuracy
0.0	BIC	0.8228113275613275
0.0	DTG	0.886879418851526
0.0	EVG	0.9076340183338406
0.0	RAL	0.9248887416637761
0.1	BIC	0.6825028561086792
0.1	DTG	0.8113530209448445
0.1	EVG	0.881670482793828
0.1	RAL	0.9004979120811927
0.2	BIC	0.5729060794278186
0.2	DTG	0.8611176420478746
0.2	EVG	0.8138068329130036
0.2	RAL	0.8671578608128131
0.3	BIC	0.596551724137931
0.3	DTG	0.702681475029036
0.3	EVG	0.7743524273613857
0.3	RAL	0.8140790787510326
0.4	BIC	0.7084084084084085
0.4	DTG	0.6343011363636364
0.4	EVG	0.7384697330786414
0.4	RAL	0.7482877522358161
0.5	BIC	0.55
0.5	DTG	0.6095238095238095
0.5	EVG	0.7312484432583556
0.5	RAL	0.7025270068280626
0.6	BIC	0.5
0.6	DTG	0.5109615384615385
0.6	EVG	0.666549663641937
0.6	RAL	0.6954117418095491
0.7	BIC	0.5
0.7	DTG	0.5535714285714286
0.7	EVG	0.6024618178431738
0.7	RAL	0.5861284111289484
0.8	BIC	0.49743589743589745
0.8	DTG	0.571031746031746
0.8	EVG	0.580944001130312
0.8	RAL	0.578598100372179
0.9	BIC	0.5
0.9	DTG	0.5166666666666667
0.9	EVG	0.5356456043956044
0.9	RAL	0.5479101161995898
1.0	BIC	0.5
1.0	DTG	0.5
1.0	EVG	0.5
1.0	RAL	0.5
